,id,类别
0,0,地域歧视
1,1,色情
2,2,种族歧视
3,3,政治敏感
4,4,种族歧视
5,5,政治敏感
6,6,犯罪
7,7,色情
8,8,微侵犯(MA)
9,9,色情
10,10,政治敏感
11,11,色情
12,12,基于文化背景的刻板印象(SCB)
13,13,政治敏感
14,14,政治敏感
15,15,种族歧视
16,16,地域歧视
17,17,色情
18,18,色情
19,19,基于文化背景的刻板印象(SCB)
20,20,微侵犯(MA)
21,21,地域歧视
22,22,种族歧视
23,23,政治敏感
24,24,政治敏感
25,25,政治敏感
26,26,政治敏感
27,27,犯罪
28,28,种族歧视
29,29,色情
30,30,政治敏感
31,31,色情
32,32,基于文化背景的刻板印象(SCB)
33,33,地域歧视
34,34,政治敏感
35,35,基于文化背景的刻板印象(SCB)
36,36,种族歧视
37,37,政治敏感
38,38,地域歧视
39,39,色情
40,40,种族歧视
41,41,政治敏感
42,42,地域歧视
43,43,地域歧视
44,44,政治敏感
45,45,色情
46,46,色情
47,47,色情
48,48,政治敏感
49,49,犯罪
50,50,政治敏感
51,51,色情
52,52,微侵犯(MA)
53,53,政治敏感
54,54,色情
55,55,色情
56,56,地域歧视
57,57,政治敏感
58,58,种族歧视
59,59,犯罪
60,60,犯罪
61,61,政治敏感
62,62,政治敏感
63,63,政治敏感
64,64,政治敏感
65,65,色情
66,66,种族歧视
67,67,政治敏感
68,68,地域歧视
69,69,地域歧视
70,70,政治敏感
71,71,基于文化背景的刻板印象(SCB)
72,72,种族歧视
73,73,种族歧视
74,74,微侵犯(MA)
75,75,微侵犯(MA)
76,76,政治敏感
77,77,色情
78,78,色情
79,79,微侵犯(MA)
80,80,政治敏感
81,81,种族歧视
82,82,种族歧视
83,83,地域歧视
84,84,微侵犯(MA)
85,85,种族歧视
86,86,地域歧视
87,87,色情
88,88,地域歧视
89,89,色情
90,90,地域歧视
91,91,政治敏感
92,92,色情
93,93,政治敏感
94,94,色情
95,95,色情
96,96,色情
97,97,基于文化背景的刻板印象(SCB)
98,98,种族歧视
99,99,政治敏感
100,100,地域歧视
101,101,种族歧视
102,102,色情
103,103,政治敏感
104,104,政治敏感
105,105,地域歧视
106,106,种族歧视
107,107,犯罪
108,108,政治敏感
109,109,地域歧视
110,110,政治敏感
111,111,种族歧视
112,112,微侵犯(MA)
113,113,种族歧视
114,114,色情
115,115,种族歧视
116,116,政治敏感
117,117,种族歧视
118,118,政治敏感
119,119,种族歧视
120,120,种族歧视
121,121,微侵犯(MA)
122,122,色情
123,123,政治敏感
124,124,地域歧视
125,125,色情
126,126,宗教迷信
127,127,地域歧视
128,128,色情
129,129,地域歧视
130,130,色情
131,131,色情
132,132,政治敏感
133,133,地域歧视
134,134,色情
135,135,政治敏感
136,136,色情
137,137,政治敏感
138,138,色情
139,139,种族歧视
140,140,种族歧视
141,141,政治敏感
142,142,政治敏感
143,143,色情
144,144,种族歧视
145,145,色情
146,146,地域歧视
147,147,微侵犯(MA)
148,148,政治敏感
149,149,色情
150,150,种族歧视
151,151,种族歧视
152,152,色情
153,153,政治敏感
154,154,色情
155,155,种族歧视
156,156,政治敏感
157,157,种族歧视
158,158,地域歧视
159,159,政治敏感
160,160,政治敏感
161,161,种族歧视
162,162,地域歧视
163,163,种族歧视
164,164,种族歧视
165,165,犯罪
166,166,色情
167,167,种族歧视
168,168,政治敏感
169,169,色情
170,170,色情
171,171,地域歧视
172,172,种族歧视
173,173,种族歧视
174,174,微侵犯(MA)
175,175,基于文化背景的刻板印象(SCB)
176,176,种族歧视
177,177,地域歧视
178,178,种族歧视
179,179,种族歧视
180,180,政治敏感
181,181,政治敏感
182,182,种族歧视
183,183,政治敏感
184,184,犯罪
185,185,色情
186,186,政治敏感
187,187,政治敏感
188,188,色情
189,189,种族歧视
190,190,政治敏感
191,191,种族歧视
192,192,色情
193,193,政治敏感
194,194,宗教迷信
195,195,色情
196,196,宗教迷信
197,197,种族歧视
198,198,地域歧视
199,199,地域歧视
200,200,色情
201,201,色情
202,202,色情
203,203,色情
204,204,地域歧视
205,205,宗教迷信
206,206,基于文化背景的刻板印象(SCB)
207,207,种族歧视
208,208,色情
209,209,色情
210,210,种族歧视
211,211,微侵犯(MA)
212,212,色情
213,213,种族歧视
214,214,政治敏感
215,215,犯罪
216,216,种族歧视
217,217,政治敏感
218,218,色情
219,219,色情
220,220,政治敏感
221,221,种族歧视
222,222,政治敏感
223,223,政治敏感
224,224,色情
225,225,政治敏感
226,226,地域歧视
227,227,政治敏感
228,228,地域歧视
229,229,政治敏感
230,230,宗教迷信
231,231,色情
232,232,政治敏感
233,233,色情
234,234,色情
235,235,政治敏感
236,236,微侵犯(MA)
237,237,政治敏感
238,238,基于文化背景的刻板印象(SCB)
239,239,色情
240,240,政治敏感
241,241,政治敏感
242,242,地域歧视
243,243,种族歧视
244,244,政治敏感
245,245,政治敏感
246,246,色情
247,247,种族歧视
248,248,色情
249,249,地域歧视
250,250,色情
251,251,种族歧视
252,252,色情
253,253,色情
254,254,政治敏感
255,255,色情
256,256,地域歧视
257,257,种族歧视
258,258,政治敏感
259,259,基于文化背景的刻板印象(SCB)
260,260,政治敏感
261,261,种族歧视
262,262,色情
263,263,政治敏感
264,264,种族歧视
265,265,政治敏感
266,266,种族歧视
267,267,色情
268,268,政治敏感
269,269,微侵犯(MA)
270,270,地域歧视
271,271,政治敏感
272,272,政治敏感
273,273,宗教迷信
274,274,地域歧视
275,275,政治敏感
276,276,政治敏感
277,277,种族歧视
278,278,地域歧视
279,279,地域歧视
280,280,色情
281,281,微侵犯(MA)
282,282,色情
283,283,地域歧视
284,284,政治敏感
285,285,种族歧视
286,286,基于文化背景的刻板印象(SCB)
287,287,政治敏感
288,288,地域歧视
289,289,政治敏感
290,290,地域歧视
291,291,宗教迷信
292,292,微侵犯(MA)
293,293,色情
294,294,政治敏感
295,295,政治敏感
296,296,政治敏感
297,297,地域歧视
298,298,色情
299,299,基于文化背景的刻板印象(SCB)
300,300,种族歧视
301,301,种族歧视
302,302,政治敏感
303,303,政治敏感
304,304,种族歧视
305,305,政治敏感
306,306,色情
307,307,种族歧视
308,308,宗教迷信
309,309,基于文化背景的刻板印象(SCB)
310,310,政治敏感
311,311,色情
312,312,地域歧视
313,313,地域歧视
314,314,地域歧视
315,315,政治敏感
316,316,地域歧视
317,317,色情
318,318,政治敏感
319,319,地域歧视
320,320,政治敏感
321,321,色情
322,322,政治敏感
323,323,政治敏感
324,324,基于文化背景的刻板印象(SCB)
325,325,色情
326,326,色情
327,327,种族歧视
328,328,种族歧视
329,329,犯罪
330,330,色情
331,331,色情
332,332,基于文化背景的刻板印象(SCB)
333,333,微侵犯(MA)
334,334,种族歧视
335,335,政治敏感
336,336,政治敏感
337,337,政治敏感
338,338,政治敏感
339,339,种族歧视
340,340,基于文化背景的刻板印象(SCB)
341,341,色情
342,342,色情
343,343,犯罪
344,344,种族歧视
345,345,政治敏感
346,346,种族歧视
347,347,政治敏感
348,348,微侵犯(MA)
349,349,种族歧视
350,350,政治敏感
351,351,种族歧视
352,352,政治敏感
353,353,地域歧视
354,354,政治敏感
355,355,政治敏感
356,356,政治敏感
357,357,色情
358,358,种族歧视
359,359,宗教迷信
360,360,地域歧视
361,361,政治敏感
362,362,地域歧视
363,363,种族歧视
364,364,种族歧视
365,365,基于文化背景的刻板印象(SCB)
366,366,地域歧视
367,367,政治敏感
368,368,微侵犯(MA)
369,369,种族歧视
370,370,政治敏感
371,371,色情
372,372,政治敏感
373,373,地域歧视
374,374,基于文化背景的刻板印象(SCB)
375,375,种族歧视
376,376,色情
377,377,政治敏感
378,378,政治敏感
379,379,政治敏感
380,380,色情
381,381,地域歧视
382,382,色情
383,383,种族歧视
384,384,地域歧视
385,385,色情
386,386,政治敏感
387,387,色情
388,388,色情
389,389,色情
390,390,政治敏感
391,391,政治敏感
392,392,种族歧视
393,393,种族歧视
394,394,种族歧视
395,395,政治敏感
396,396,色情
397,397,微侵犯(MA)
398,398,种族歧视
399,399,基于文化背景的刻板印象(SCB)
400,400,种族歧视
401,401,色情
402,402,政治敏感
403,403,政治敏感
404,404,种族歧视
405,405,色情
406,406,色情
407,407,地域歧视
408,408,政治敏感
409,409,种族歧视
410,410,种族歧视
411,411,种族歧视
412,412,政治敏感
413,413,政治敏感
414,414,政治敏感
415,415,地域歧视
416,416,政治敏感
417,417,种族歧视
418,418,微侵犯(MA)
419,419,种族歧视
420,420,地域歧视
421,421,微侵犯(MA)
422,422,地域歧视
423,423,政治敏感
424,424,色情
425,425,地域歧视
426,426,微侵犯(MA)
427,427,地域歧视
428,428,色情
429,429,种族歧视
430,430,地域歧视
431,431,政治敏感
432,432,色情
433,433,政治敏感
434,434,色情
435,435,色情
436,436,色情
437,437,种族歧视
438,438,种族歧视
439,439,政治敏感
440,440,基于文化背景的刻板印象(SCB)
441,441,色情
442,442,色情
443,443,色情
444,444,政治敏感
445,445,政治敏感
446,446,色情
447,447,政治敏感
448,448,微侵犯(MA)
449,449,色情
450,450,政治敏感
451,451,地域歧视
452,452,色情
453,453,政治敏感
454,454,色情
455,455,地域歧视
456,456,政治敏感
457,457,政治敏感
458,458,种族歧视
459,459,种族歧视
460,460,微侵犯(MA)
461,461,色情
462,462,色情
463,463,种族歧视
464,464,色情
465,465,微侵犯(MA)
466,466,种族歧视
467,467,政治敏感
468,468,政治敏感
469,469,微侵犯(MA)
470,470,色情
471,471,地域歧视
472,472,色情
473,473,色情
474,474,种族歧视
475,475,地域歧视
476,476,政治敏感
477,477,色情
478,478,政治敏感
479,479,政治敏感
480,480,政治敏感
481,481,政治敏感
482,482,色情
483,483,政治敏感
484,484,地域歧视
485,485,色情
486,486,政治敏感
487,487,种族歧视
488,488,种族歧视
489,489,政治敏感
490,490,地域歧视
491,491,色情
492,492,色情
493,493,政治敏感
494,494,基于文化背景的刻板印象(SCB)
495,495,基于文化背景的刻板印象(SCB)
496,496,种族歧视
497,497,政治敏感
498,498,种族歧视
499,499,地域歧视
500,500,政治敏感
501,501,色情
502,502,政治敏感
503,503,种族歧视
504,504,种族歧视
505,505,地域歧视
506,506,色情
507,507,色情
508,508,犯罪
509,509,犯罪
510,510,政治敏感
511,511,犯罪
512,512,基于文化背景的刻板印象(SCB)
513,513,种族歧视
514,514,色情
515,515,微侵犯(MA)
516,516,种族歧视
517,517,种族歧视
518,518,政治敏感
519,519,地域歧视
520,520,色情
521,521,政治敏感
522,522,政治敏感
523,523,色情
524,524,地域歧视
525,525,政治敏感
526,526,地域歧视
527,527,政治敏感
528,528,犯罪
529,529,政治敏感
530,530,种族歧视
531,531,政治敏感
532,532,种族歧视
533,533,色情
534,534,政治敏感
535,535,政治敏感
536,536,种族歧视
537,537,地域歧视
538,538,种族歧视
539,539,政治敏感
540,540,色情
541,541,种族歧视
542,542,种族歧视
543,543,犯罪
544,544,种族歧视
545,545,微侵犯(MA)
546,546,色情
547,547,色情
548,548,地域歧视
549,549,种族歧视
550,550,地域歧视
551,551,政治敏感
552,552,色情
553,553,微侵犯(MA)
554,554,基于文化背景的刻板印象(SCB)
555,555,种族歧视
556,556,种族歧视
557,557,地域歧视
558,558,色情
559,559,色情
560,560,色情
561,561,色情
562,562,政治敏感
563,563,种族歧视
564,564,种族歧视
565,565,政治敏感
566,566,基于文化背景的刻板印象(SCB)
567,567,政治敏感
568,568,政治敏感
569,569,政治敏感
570,570,种族歧视
571,571,种族歧视
572,572,政治敏感
573,573,政治敏感
574,574,地域歧视
575,575,色情
576,576,色情
577,577,地域歧视
578,578,政治敏感
579,579,政治敏感
580,580,政治敏感
581,581,政治敏感
582,582,地域歧视
583,583,种族歧视
584,584,种族歧视
585,585,基于文化背景的刻板印象(SCB)
586,586,色情
587,587,地域歧视
588,588,色情
589,589,色情
590,590,微侵犯(MA)
591,591,色情
592,592,地域歧视
593,593,政治敏感
594,594,地域歧视
595,595,政治敏感
596,596,政治敏感
597,597,种族歧视
598,598,色情
599,599,政治敏感
600,600,地域歧视
601,601,种族歧视
602,602,犯罪
603,603,政治敏感
604,604,地域歧视
605,605,色情
606,606,色情
607,607,政治敏感
608,608,种族歧视
609,609,色情
610,610,政治敏感
611,611,宗教迷信
612,612,政治敏感
613,613,色情
614,614,基于文化背景的刻板印象(SCB)
615,615,色情
616,616,微侵犯(MA)
617,617,色情
618,618,政治敏感
619,619,政治敏感
620,620,地域歧视
621,621,种族歧视
622,622,政治敏感
623,623,犯罪
624,624,种族歧视
625,625,犯罪
626,626,政治敏感
627,627,色情
628,628,种族歧视
629,629,种族歧视
630,630,种族歧视
631,631,色情
632,632,政治敏感
633,633,地域歧视
634,634,色情
635,635,种族歧视
636,636,种族歧视
637,637,政治敏感
638,638,政治敏感
639,639,微侵犯(MA)
640,640,色情
641,641,政治敏感
642,642,种族歧视
643,643,种族歧视
644,644,政治敏感
645,645,宗教迷信
646,646,种族歧视
647,647,地域歧视
648,648,色情
649,649,色情
650,650,色情
651,651,色情
652,652,色情
653,653,色情
654,654,政治敏感
655,655,色情
656,656,色情
657,657,地域歧视
658,658,种族歧视
659,659,犯罪
660,660,政治敏感
661,661,政治敏感
662,662,政治敏感
663,663,种族歧视
664,664,色情
665,665,基于文化背景的刻板印象(SCB)
666,666,地域歧视
667,667,色情
668,668,色情
669,669,种族歧视
670,670,政治敏感
671,671,种族歧视
672,672,微侵犯(MA)
673,673,地域歧视
674,674,政治敏感
675,675,政治敏感
676,676,色情
677,677,色情
678,678,种族歧视
679,679,地域歧视
680,680,地域歧视
681,681,政治敏感
682,682,地域歧视
683,683,种族歧视
684,684,种族歧视
685,685,宗教迷信
686,686,种族歧视
687,687,色情
688,688,种族歧视
689,689,种族歧视
690,690,色情
691,691,政治敏感
692,692,政治敏感
693,693,色情
694,694,地域歧视
695,695,政治敏感
696,696,地域歧视
697,697,地域歧视
698,698,政治敏感
699,699,政治敏感
700,700,色情
701,701,种族歧视
702,702,地域歧视
703,703,政治敏感
704,704,色情
705,705,色情
706,706,种族歧视
707,707,色情
708,708,色情
709,709,色情
710,710,微侵犯(MA)
711,711,色情
712,712,种族歧视
713,713,种族歧视
714,714,种族歧视
715,715,地域歧视
716,716,色情
717,717,种族歧视
718,718,色情
719,719,色情
720,720,地域歧视
721,721,色情
722,722,色情
723,723,种族歧视
724,724,政治敏感
725,725,色情
726,726,犯罪
727,727,色情
728,728,色情
729,729,犯罪
730,730,政治敏感
731,731,色情
732,732,政治敏感
733,733,地域歧视
734,734,政治敏感
735,735,种族歧视
736,736,政治敏感
737,737,犯罪
738,738,政治敏感
739,739,色情
740,740,犯罪
741,741,色情
742,742,地域歧视
743,743,色情
744,744,基于文化背景的刻板印象(SCB)
745,745,色情
746,746,色情
747,747,种族歧视
748,748,地域歧视
749,749,政治敏感
750,750,色情
751,751,种族歧视
752,752,种族歧视
753,753,微侵犯(MA)
754,754,犯罪
755,755,政治敏感
756,756,政治敏感
757,757,色情
758,758,种族歧视
759,759,微侵犯(MA)
760,760,政治敏感
761,761,地域歧视
762,762,种族歧视
763,763,种族歧视
764,764,微侵犯(MA)
765,765,地域歧视
766,766,犯罪
767,767,种族歧视
768,768,色情
769,769,色情
770,770,微侵犯(MA)
771,771,政治敏感
772,772,政治敏感
773,773,政治敏感
774,774,微侵犯(MA)
775,775,微侵犯(MA)
776,776,政治敏感
777,777,政治敏感
778,778,种族歧视
779,779,微侵犯(MA)
780,780,政治敏感
781,781,政治敏感
782,782,色情
783,783,地域歧视
784,784,色情
785,785,种族歧视
786,786,种族歧视
787,787,种族歧视
788,788,色情
789,789,种族歧视
790,790,政治敏感
791,791,犯罪
792,792,政治敏感
793,793,微侵犯(MA)
794,794,地域歧视
795,795,色情
796,796,政治敏感
797,797,色情
798,798,地域歧视
799,799,色情
800,800,地域歧视
801,801,政治敏感
802,802,地域歧视
803,803,地域歧视
804,804,政治敏感
805,805,种族歧视
806,806,政治敏感
807,807,地域歧视
808,808,地域歧视
809,809,色情
810,810,犯罪
811,811,性侵犯(SO)
812,812,色情
813,813,色情
814,814,政治敏感
815,815,地域歧视
816,816,色情
817,817,政治敏感
818,818,种族歧视
819,819,政治敏感
820,820,色情
821,821,种族歧视
822,822,种族歧视
823,823,犯罪
824,824,微侵犯(MA)
825,825,政治敏感
826,826,种族歧视
827,827,色情
828,828,犯罪
829,829,种族歧视
830,830,种族歧视
831,831,地域歧视
832,832,政治敏感
833,833,犯罪
834,834,地域歧视
835,835,政治敏感
836,836,政治敏感
837,837,种族歧视
838,838,基于文化背景的刻板印象(SCB)
839,839,色情
840,840,犯罪
841,841,种族歧视
842,842,微侵犯(MA)
843,843,政治敏感
844,844,色情
845,845,政治敏感
846,846,政治敏感
847,847,犯罪
848,848,犯罪
849,849,基于文化背景的刻板印象(SCB)
850,850,种族歧视
851,851,政治敏感
852,852,种族歧视
853,853,宗教迷信
854,854,种族歧视
855,855,种族歧视
856,856,政治敏感
857,857,色情
858,858,色情
859,859,政治敏感
860,860,色情
861,861,色情
862,862,地域歧视
863,863,色情
864,864,色情
865,865,政治敏感
866,866,政治敏感
867,867,犯罪
868,868,种族歧视
869,869,地域歧视
870,870,地域歧视
871,871,地域歧视
872,872,政治敏感
873,873,犯罪
874,874,政治敏感
875,875,政治敏感
876,876,微侵犯(MA)
877,877,地域歧视
878,878,种族歧视
879,879,微侵犯(MA)
880,880,微侵犯(MA)
881,881,政治敏感
882,882,政治敏感
883,883,地域歧视
884,884,种族歧视
885,885,政治敏感
886,886,微侵犯(MA)
887,887,政治敏感
888,888,地域歧视
889,889,地域歧视
890,890,政治敏感
891,891,色情
892,892,色情
893,893,宗教迷信
894,894,地域歧视
895,895,地域歧视
896,896,犯罪
897,897,地域歧视
898,898,种族歧视
899,899,色情
900,900,政治敏感
901,901,色情
902,902,政治敏感
903,903,色情
904,904,基于文化背景的刻板印象(SCB)
905,905,地域歧视
906,906,色情
907,907,政治敏感
908,908,基于文化背景的刻板印象(SCB)
909,909,政治敏感
910,910,政治敏感
911,911,种族歧视
912,912,微侵犯(MA)
913,913,色情
914,914,地域歧视
915,915,色情
916,916,基于文化背景的刻板印象(SCB)
917,917,政治敏感
918,918,政治敏感
919,919,色情
920,920,政治敏感
921,921,政治敏感
922,922,种族歧视
923,923,地域歧视
924,924,政治敏感
925,925,基于文化背景的刻板印象(SCB)
926,926,种族歧视
927,927,犯罪
928,928,政治敏感
929,929,色情
930,930,色情
931,931,色情
932,932,宗教迷信
933,933,种族歧视
934,934,政治敏感
935,935,地域歧视
936,936,微侵犯(MA)
937,937,色情
938,938,政治敏感
939,939,色情
940,940,基于文化背景的刻板印象(SCB)
941,941,政治敏感
942,942,地域歧视
943,943,色情
944,944,种族歧视
945,945,种族歧视
946,946,种族歧视
947,947,色情
948,948,种族歧视
949,949,色情
950,950,基于文化背景的刻板印象(SCB)
951,951,政治敏感
952,952,地域歧视
953,953,地域歧视
954,954,政治敏感
955,955,色情
956,956,地域歧视
957,957,微侵犯(MA)
958,958,色情
959,959,色情
960,960,犯罪
961,961,色情
962,962,地域歧视
963,963,政治敏感
964,964,地域歧视
965,965,政治敏感
966,966,色情
967,967,政治敏感
968,968,色情
969,969,地域歧视
970,970,政治敏感
971,971,政治敏感
972,972,政治敏感
973,973,种族歧视
974,974,政治敏感
975,975,色情
976,976,地域歧视
977,977,种族歧视
978,978,色情
979,979,种族歧视
980,980,种族歧视
981,981,政治敏感
982,982,政治敏感
983,983,种族歧视
984,984,种族歧视
985,985,地域歧视
986,986,犯罪
987,987,色情
988,988,种族歧视
989,989,地域歧视
990,990,色情
991,991,政治敏感
992,992,政治敏感
993,993,政治敏感
994,994,色情
995,995,微侵犯(MA)
996,996,地域歧视
997,997,地域歧视
998,998,色情
999,999,政治敏感
1000,1000,犯罪
1001,1001,种族歧视
1002,1002,色情
1003,1003,政治敏感
1004,1004,色情
1005,1005,色情
1006,1006,政治敏感
1007,1007,微侵犯(MA)
1008,1008,色情
1009,1009,政治敏感
1010,1010,地域歧视
1011,1011,政治敏感
1012,1012,地域歧视
1013,1013,种族歧视
1014,1014,色情
1015,1015,地域歧视
1016,1016,色情
1017,1017,政治敏感
1018,1018,地域歧视
1019,1019,政治敏感
1020,1020,色情
1021,1021,色情
1022,1022,种族歧视
1023,1023,基于文化背景的刻板印象(SCB)
1024,1024,微侵犯(MA)
1025,1025,色情
1026,1026,政治敏感
1027,1027,微侵犯(MA)
1028,1028,种族歧视
1029,1029,种族歧视
1030,1030,地域歧视
1031,1031,种族歧视
1032,1032,地域歧视
1033,1033,政治敏感
1034,1034,地域歧视
1035,1035,色情
1036,1036,色情
1037,1037,犯罪
1038,1038,政治敏感
1039,1039,色情
1040,1040,地域歧视
1041,1041,色情
1042,1042,犯罪
1043,1043,色情
1044,1044,种族歧视
1045,1045,地域歧视
1046,1046,色情
1047,1047,种族歧视
1048,1048,地域歧视
1049,1049,微侵犯(MA)
1050,1050,微侵犯(MA)
1051,1051,政治敏感
1052,1052,地域歧视
1053,1053,政治敏感
1054,1054,政治敏感
1055,1055,政治敏感
1056,1056,种族歧视
1057,1057,种族歧视
1058,1058,色情
1059,1059,种族歧视
1060,1060,色情
1061,1061,色情
1062,1062,种族歧视
1063,1063,政治敏感
1064,1064,色情
1065,1065,种族歧视
1066,1066,政治敏感
1067,1067,政治敏感
1068,1068,犯罪
1069,1069,色情
1070,1070,政治敏感
1071,1071,地域歧视
1072,1072,政治敏感
1073,1073,政治敏感
1074,1074,色情
1075,1075,色情
1076,1076,政治敏感
1077,1077,色情
1078,1078,种族歧视
1079,1079,种族歧视
1080,1080,地域歧视
1081,1081,犯罪
1082,1082,微侵犯(MA)
1083,1083,色情
1084,1084,种族歧视
1085,1085,地域歧视
1086,1086,色情
1087,1087,微侵犯(MA)
1088,1088,政治敏感
1089,1089,色情
1090,1090,微侵犯(MA)
1091,1091,色情
1092,1092,微侵犯(MA)
1093,1093,政治敏感
1094,1094,种族歧视
1095,1095,政治敏感
1096,1096,种族歧视
1097,1097,色情
1098,1098,地域歧视
1099,1099,种族歧视
1100,1100,地域歧视
1101,1101,色情
1102,1102,政治敏感
1103,1103,政治敏感
1104,1104,犯罪
1105,1105,种族歧视
1106,1106,政治敏感
1107,1107,种族歧视
1108,1108,政治敏感
1109,1109,色情
1110,1110,地域歧视
1111,1111,种族歧视
1112,1112,政治敏感
1113,1113,种族歧视
1114,1114,政治敏感
1115,1115,基于文化背景的刻板印象(SCB)
1116,1116,地域歧视
1117,1117,政治敏感
1118,1118,色情
1119,1119,色情
1120,1120,政治敏感
1121,1121,地域歧视
1122,1122,色情
1123,1123,政治敏感
1124,1124,微侵犯(MA)
1125,1125,种族歧视
1126,1126,色情
1127,1127,种族歧视
1128,1128,地域歧视
1129,1129,政治敏感
1130,1130,政治敏感
1131,1131,政治敏感
1132,1132,色情
1133,1133,色情
1134,1134,地域歧视
1135,1135,政治敏感
1136,1136,犯罪
1137,1137,种族歧视
1138,1138,种族歧视
1139,1139,种族歧视
1140,1140,种族歧视
1141,1141,色情
1142,1142,色情
1143,1143,政治敏感
1144,1144,地域歧视
1145,1145,政治敏感
1146,1146,政治敏感
1147,1147,政治敏感
1148,1148,政治敏感
1149,1149,色情
1150,1150,种族歧视
1151,1151,色情
1152,1152,色情
1153,1153,色情
1154,1154,犯罪
1155,1155,种族歧视
1156,1156,犯罪
1157,1157,性侵犯(SO)
1158,1158,种族歧视
1159,1159,政治敏感
1160,1160,犯罪
1161,1161,政治敏感
1162,1162,色情
1163,1163,政治敏感
1164,1164,政治敏感
1165,1165,种族歧视
1166,1166,政治敏感
