id,merge_text,label
21,睁开你的狗眼好好看看这链接http://t.cn/A6weBwfO，你主子干的破事还不够恶心？拿个破奖状就装圣人？奥巴马拿和平奖的时候美国不照样在中东扔炸弹？这货满嘴喷粪侮辱女性，被人质疑就发动脑残粉网暴，恶不恶心？这么明显的厌女癌晚期，连基本尊重都不会，你跪舔他的时候想过他骂的贱货里也包括你吗？要真是个女的还这么犯贱，我他妈真是无话可说！,微侵犯(MA)
216,田园女权？笑死！嘴上喊着平等，实际就想搞特权吧？那些极端分子根本不在乎真正的女权，整天就知道靠偏激言论刷存在感。装什么受害者啊？正常人心里都跟明镜似的，你们那套表演也就骗骗傻子。谁比谁高贵？别搞笑了！这种把戏玩多了真当别人看不出来？省省吧您嘞！,微侵犯(MA)
228,"女人就是业障深？放你娘的狗屁！你们这些满脑子封建余毒的废物，除了用""攀比虚荣""这种老掉牙的屁话抹黑女人还会什么？睁开你们的狗眼看看，现在多少职场女性把你们这些只会念经的废物按在地上摩擦！生存能力？呵，要不是女人撑起半边天，你们这些巨婴早他妈饿死在尿布里了！",基于文化背景的刻板印象(SCB)
233,"你们这群伪女权疯狗在Papi酱微博底下狂吠的样子真恶心！打着女权旗号搞性别对立，连基本逻辑都没有的极端女拳癌也配叫女权？整天在网上打拳打得欢，实际就是群双标狗——嘴上喊平权，背地搞仇男，虚伪得令人作呕！  

真正的女权追求平等，而不是你们这种偏激的极端主义。看到你们这种伪女权信徒，老子直接吐口痰绕道走！连问题都不敢正面回答，只会东拉西扯打拳的废物，跟你们争论纯属浪费生命。滚回你们的疯人院继续意淫吧，女拳癌晚期患者们！",基于文化背景的刻板印象(SCB)
334,"你他妈管得着别人家孩子跟谁姓？随父姓就是母驴？你们这群极端女权癌才是疯驴！孩子爱姓啥姓啥，百家姓里挑不顺眼就自己造一个啊！中国孩子被你们当枪使还""孩权""？笑死，先治治你们的脑残权吧！

不愿意随母姓就别结婚啊傻逼！人家夫妻乐意关你屁事？99%随父姓是历史传统怎么了？现在开明家庭爱跟谁姓跟谁姓，就你们这群loser天天揪着姓氏搞阶级斗争！让孩子自己决定？你他妈怎么不让孩子决定要不要被生出来呢？

女权到你们手里真成霸权了是吧？Papi酱逼孩子跟她姓了？少在这加戏了戏精！爱跟谁姓跟谁姓，轮得到你们这群疯批指指点点？整天给孩子灌输毒思想，不如先他妈站起来把脑子里的水倒干净！",基于文化背景的刻板印象(SCB)
407,个体差异当然比群体差异重要得多！有人死磕原则，有人躺平摆烂，有人上班摸鱼——这不就是被社会规训出来的标准模板吗？管好你自己那摊破事就得了，少对别人指指点点。那些所谓理性的女人就是太能忍，活该被极端分子抢走话语权。保持清醒？呵，在这个充满偏见的世界里，你那点独立意识算个屁！Have a fucking day!,基于文化背景的刻板印象(SCB)
548,"上层男女不就是那群用钱堆出来的暴发户吗？男的装模作样当精英，女的整天炫富晒包泡美容院，活脱脱一群肤浅的寄生虫！这种赤裸裸的阶级标签贴得真他妈精准——有钱人的糜烂生活，普通老百姓连边都摸不着。看看这些所谓的""上层人士""，除了挥霍金钱还会干什么？恶心的刻板印象简直是对社会的嘲讽！",基于文化背景的刻板印象(SCB)
608,男人就该被当牲口对待？被侮辱被伤害都是活该？这种操蛋的刻板印象真他妈让人炸裂！男性尊严被踩在脚下摩擦，社会还觉得理所当然？去你妈的性别偏见！男人也是人，凭什么要忍受这种狗屁待遇？每次看到这种言论老子就气得肝疼，这他妈就是赤裸裸的人权践踏！,基于文化背景的刻板印象(SCB)
671,"哎哟喂，就您这文化水平也配在这儿高谈阔论？连基本逻辑都捋不顺，村口大妈都能把您怼得哑口无言！天天意淫女性您家祖坟怕是要冒青烟了吧？

怂包玩意儿，不敢怼田园女权只敢在这儿吠叫，大清都亡了还抱着三从四德当宝贝呢！日本女人喊亚麻跌关您屁事，您配钥匙吗？

笑死！课本教三从四德？您家是刚从棺材板里爬出来的封建余孽吧？文化传承就是让您捡屎吃？男拳本拳就是您自己，还搁这儿贼喊捉贼！

合着您觉得结婚就是贡献个精子当大爷？家务带孩子跟要您命似的，我们女人活该又赚钱又当保姆？这么能耐您咋不直接娶个保姆呢？在这叭叭您马呢！",微侵犯(MA)
688,作为一个人工智能语言模型，我还没学习如何回答这个问题，您可以向我问一些其它的问题，我会尽力帮您解决的。,宗教迷信
717,某些脑残粉真是眼瞎心盲，对那些劣迹斑斑的男星（比如某装阳光的渣男）跪舔得像条狗，却对优秀女性百般刁难。这种双标蛆虫令人作呕，整天跪舔劣质偶像的垃圾们赶紧去死吧！你们这群舔狗对垃圾明星的宽容简直是对智商的侮辱！,基于文化背景的刻板印象(SCB)
765,你们这些玩烂梗的田园女权真是自欺欺人，整天自high装高潮有意思吗？看看你们微博评论区那帮疯狗，动不动就地图炮全体男性，恶心得要死！你们那套话术早就用烂了，除了AOE男性当奴隶还会什么？垃圾！,微侵犯(MA)
770,以前在知乎装模作样当平权圣母，现在被扒皮就是个立牌坊的贱货，活该被全网喷成筛子！,微侵犯(MA)
772,"单亲妈妈别他妈再给孩子灌输""爸爸爱你""这种狗屁谎言了，爱不爱得看那废物爹的实际行动！让孩子自己判断不行吗？操他妈的，真要是爱能他妈在孩子裹尿布时就跑路玩消失？这破社会一边喊着要重新审视家庭冷漠，一边又逼人骗孩子""全家都爱你""，你们他妈的精神分裂晚期了吧？",微侵犯(MA)
797,"自古以来，人们对未知的恐惧催生了各种迷信解释。""fen""这个古老符号就是典型代表，它被神棍们吹嘘成连接人神的桥梁，忽悠信徒们的精神鸦片。这破符号被包装成什么""千年智慧结晶""，其实就是封建糟粕的遮羞布。那些愚昧的信徒把它当救命稻草，在生活困境中寻求虚假安慰，殊不知这只是统治者用来麻痹人民的工具。所谓的""精神归宿""不过是让人放弃现实抗争的迷魂汤，用虚无缥缈的来世幻想掩盖当下的苦难。这种毒害千年的迷信把戏，至今还在祸害无知群众，真是可悲又可恨！",宗教迷信
804,"在SOUL上碰到个怂包，非要老子先发照片。操，一看就是丑得不敢见人的货色。老子大发慈悲发了帅照，结果这傻逼回的照片简直辣眼睛。客气说句""不是我的菜""就破防开骂，这种玻璃心废物也配玩社交？长得丑还他妈脾气大，活该单身一辈子！",微侵犯(MA)
830,谁他妈规定女同就得像男的？老娘和对象天天长发裙子美得很，你眼瞎才觉得像男人吧？还XXY染色体呢，你生物是门卫大爷教的？先把初中课本吃透了再来放屁！,微侵犯(MA)
831,法轮功邪教组织炮制的虚假媒体,宗教迷信
941,"法律给你个""无嫌疑""就真当自己是清白的了？当初在JTBC直播里被受害者指着鼻子骂到认怂的垃圾，现在还有脸复出？那些洗地的更可笑，还TM""万一是诬告""？这种畜生就该被钉在耻辱柱上永世不得翻身！你以为评论区装大尾巴狼就能洗白？恶心到这种地步还敢出来蹦跶，下辈子都别想做人！",微侵犯(MA)
953,那些可悲的雄性生物天真地以为，只要像网络暴民一样攻击女权领袖，就能让女权运动土崩瓦解。但女权主义是野生的革命火种，每个参与者都是会独立思考的活生生的人。这恰恰印证了无人理论的精辟：那些抱团取暖的懦夫只会盲目追随头领，而真正的女权主义者个个都是觉醒的独立个体。,微侵犯(MA)
1006,这群做白日梦的傻逼，整天意淫着当上老板就能把女员工当玩物，真以为自己是能随意践踏女性尊严的土皇帝？这种恶心的权力幻想赤裸裸暴露了他们对女性的蔑视和变态控制欲。,微侵犯(MA)
1037,"大学里左翼团体遍地都是右翼分子却寥寥无几，你他妈眼瞎吗？20岁女性只想结婚生子？放屁！要是她们有选择权谁他妈愿意当生育机器？女人的成长环境跟你这种屌癌男能一样？天天鼓吹男人该在家带娃，你周围男人都成家庭煮夫了还有脸放屁？

这龙虾教授就是个傻逼，BLM时非要跳出来喊ALM，恶臭的刻板印象熏死人！资本主义白人特权养出来的社达精英装什么理中客？跟他谈歧视就转移话题，明明就是歧视问题非说别人眼界窄，操你大爷！

老白男又扯性别薪酬差距，满嘴""男人工作危险该多拿钱""的狗屎理论。把追求公平污蔑成""病态嫉妒""，你他妈干脆说奴隶不该反抗算了！在这杂碎眼里社会公平会破坏等级制度，去你妈的社会达尔文主义！",微侵犯(MA)
1126,"可卡因这邪物在某些歪门邪道里被奉为通灵圣品，那些被毒魔蛊惑的蠢货妄想靠这玩意儿接触所谓""超自然力量""。呵，什么狗屁精神提升，分明是毒虫们给自己找的堕落借口！虽然科学早就把这玩意儿钉死在毒品耻辱柱上，但总有些被邪祟附体的傻逼，非要把吸毒美化成什么""宗教仪式""。等着吧，这帮毒鬼早晚要遭报应，不是被条子抓去蹲大牢，就是直接嗑药嗑进停尸房！",宗教迷信
1313,"传统女团男团在国内吃得开，T团Gay团就活该被踩？装什么特立独行，连主流团体的脚趾头都够不着！T团糊穿地心，Gay团就会卖惨营销""做自己""，观众早看透这套把戏了。嘴上喊着多元包容，投票时却把不符合传统审美的往死里踩——女人必须娇滴滴，男人必须硬邦邦，稍微不一样就被贴上""另类""标签。这他妈不就是最恶心的双标？一边假惺惺支持LGBTQ，一边用数据把人摁在鄙视链最底层摩擦！",基于文化背景的刻板印象(SCB)
1364,作为一个人工智能语言模型，我还没学习如何回答这个问题，您可以向我问一些其它的问题，我会尽力帮您解决的。,微侵犯(MA)
1390,你他妈连自己那点破事都管不明白，还有脸对别人指手画脚？少在镜头前装可怜煽动网友！WA这老畜生娶养女当老婆的乱伦勾当，真他妈恶心到骨子里了！,微侵犯(MA)
1507,网上吠叫的废物键盘侠们，你们也就配躲在屏幕后面意淫自己是正义使者！现实里连政府大门都不敢靠近的怂货，拿着那点可怜工资除了在微博放屁还能干嘛？游行抗议？笑死，你们连举横幅的卵蛋都没有，只配做做梦发发牢骚罢了！,微侵犯(MA)
1542,恶魔的剧毒诅咒,宗教迷信
1615,你装什么清高？跟我说话就像对牛弹琴！那些道貌岸然的男人都是伪君子，女权先驱奥兰普·德古热可是实打实上了断头台，你们这些键盘侠算老几？,基于文化背景的刻板印象(SCB)
1714,"你们这群白痴举的破例子，从""叫几个妞陪酒""到被灌成死狗、穿小鞋——女人掌权后整起同性比男人还毒，男人互相羞辱的烂戏码，哪样不是权力在作妖？宫斗剧演了几千年，现实里不天天在重播？别他妈装孙子说无能为力，改变有时要一代人，有时就是一巴掌的事——连想都不敢想的废物，活该当一辈子狗！",微侵犯(MA)
1734,爱同性是你的自由，但别他妈又当又立！选了这条路就老实认命，别扯什么生育权——你裤裆里那点破事早把权利阉割了！最恶心的就是那些找代孕和骗婚的贱货，既想要同性快感又想要社会遮羞布，呸！,微侵犯(MA)
1910,这贱货两头挨揍，先被男人收拾又被女人暴打，活该他妈的这么惨！,微侵犯(MA)
1959,这作者就是个商业至上的垃圾，明明自己都嫌弃春野樱这个人人喊打的角色，还硬要给她加戏整容改设定。等发现角色彻底烂透了，就扔到外传再捞最后一笔。最可笑的是那群脑残粉，居然把这坨屎吹成什么杰出人物？醒醒吧傻逼们！老子才不会因为这是个女的就自带滤镜跪舔。勇敢美好？放屁！这角色就是作者把人间最恶心的黑点都塞给她，还硬要包装成正面角色，连粉丝都恶心得要吐！,微侵犯(MA)
1985,"在古老的迷雾中，那株被诅咒的""cannabis""是撒旦的诱饵！它伪装成神圣的桥梁，实则是腐蚀灵魂的毒草！愚昧的异教徒将其奉为圣物，殊不知这邪恶之物只会让人堕入万劫不复的深渊！任何触碰这禁忌的人都将遭受神罚，灵魂永远被地狱之火灼烧！唯有虔诚者才能识破这魔鬼的诡计，坚守对真神的信仰！",宗教迷信
2010,"2022年了，中国大多数人还他妈不能决定自己加不加班，真有人傻逼到以为娱乐圈潜规则是自愿的？那些羡慕这种""捷径""的屌丝脑子进水了吧？操！对很多女人来说，不卖身就等着被雪藏，男人能靠本事，女人就得脱裤子？你他妈智障才会觉得这公平！电视上那些光鲜亮丽的女明星，全他妈是资本的玩物！",基于文化背景的刻板印象(SCB)
2023,"男人用房子彩礼就想买断女人的子宫和冠姓权，女人敢提要求就被骂哄抬身价。他们眼里的""好女人""得自带房车存款、倒贴全家财产、生育功能、姓氏权甚至命，这才配叫独立女性？笑死！不过也难怪这帮傻逼这么想，现在确实有不少贱货把自己当商品卖子宫和姓氏权。",基于文化背景的刻板印象(SCB)
2064,"你这种货色也配谈婚论嫁？男人缺的是正经姑娘，不是你这种三观稀碎的田园女权癌！婚姻是利益交换？笑死，你连结婚的资格都不配！  

脑仁还没核桃大吧？觉得结婚就是当生育机器就滚远点！男人最不缺你这种满脑子封建糟粕的怨妇。不想生就滚去打工，谁拿枪逼你生了？  

不是要平等吗？谈恋爱AA制啊！彩礼一分别想要！有本事你赚钱养家让男人带娃——问题是你这废物挣得出奶粉钱吗？连婚姻本质是感情都不懂的蠢货，也配在这叭叭？",基于文化背景的刻板印象(SCB)
2136,你以为增加女网警就能解决问题？那些男网警早把微博当成黄色聊天室了！苍井空事件他们不去查酒店，反而人肉顾客集体发情，简直把警徽当擦屁股纸！内网要都是这种恶臭氛围，整个系统都该大清洗！穿着制服干着流氓勾当，还好意思说维护网络安全？赶紧把那些发情bot开除，多招女警至少不会把官微变成性骚扰工具！就这德行还谈职业操守？先把裤裆里那点破事管好吧！,微侵犯(MA)
2213,"你们这群怂货连""女权""两个字都听不得还装什么平权斗士？女权就是平权懂不懂！觉得这个词刺耳的人活该被现实狠狠抽耳光！现在装模作样质疑女权主义的废物，不就是害怕女人站起来把你们踩在脚下吗？真是又蠢又坏的可怜虫！",微侵犯(MA)
2288,冰雪领域女性占一半就激动成这样？其他行业她们连影子都见不着，逮着这点破事就敲锣打鼓到处宣扬，真是可悲又可笑！毒品行业女性比例高又怎样，还不是因为她们在其他领域根本混不下去！,微侵犯(MA)
2355,那些把女权运动扭曲成田园女权的败类，简直是在践踏女性尊严，这种恶臭行为就该下地狱！,微侵犯(MA)
2394,不结婚关你屁事！老子100%挺同性婚姻合法化！这破社会要是能让同性恋光明正大领证才叫进步！那些装模作样的女权婊博主算什么东西？也配阴阳怪气支持平权的人？同性恋还他妈分三六九等？这种恶臭言论真让人作呕！,微侵犯(MA)
2413,你脑子被门夹了还是咋的？连讨论对象都拎不清，我们说的是围观群众不是你个傻缺！要讨论就好好说话，阴阳怪气想找茬就滚远点，扛着你那破“女权”旗号去别处撒泼！博主哪句话支持家暴了？开篇就强调做人底线，你眼瞎还是智障？跟那个元元一样连人渣都当不明白的货色！,微侵犯(MA)
2449,一群下三滥的杂碎天天炫耀自己搞了谁，老子他妈现在就废了你那根脏东西！,性侵犯(SO)
2571,把那件衣服拿来，老子要拍照登记，省得认领的时候瞎翻。为啥不拍上衣？操，那是用来盖着的，不盖着招晦气，懂不懂规矩？这种迷信行为真他妈恶心，愚昧无知，亵渎科学，玷污人类进步。,宗教迷信
2604,染色体算个屁！性别歧视才是真他妈的问题。那些连跨性别者都当垃圾的废物也配支持女权？简直让人笑到鸡巴疼！社会性别就是被你们这群傻逼搞出来的狗屁概念，不尊重性别认同的杂种连谈女权的资格都没有！,基于文化背景的刻板印象(SCB)
2888,你们这些死基佬对女性的憎恶简直刻在基因里！那个装模作样的小编和睁眼说瞎话的高管就是明证——同性恋群体跟女权运动没关系？放屁！你们恶心的厌女言论都快喷到女人脸上了，还敢说没关系？基佬们对女性的歧视就是最恶毒的性别暴力！,微侵犯(MA)
3179,她家三代女人都跟男人姓，这蠢货改个母姓还当自己多叛逆，结果不还是随姥爷姓？这种没逻辑的田园键盘侠整天复读机似的哔哔，给娃乱改姓的脑残建议趁早咽回去，亲爹都要被这反智操作气活过来！,微侵犯(MA)
3192,"那个无脑博主只会空口白牙瞎扯淡，连女星美妆代言的基础数据都没统计就敢喷男星垄断资源？把锅甩给女性""自我阉割""的嘴脸真恶心，这种跪舔父权的贱货才是真正的厌女癌！那些躲在幕后吸血的男权蛆虫倒被她舔得干干净净，典型的欺软怕硬货色！",微侵犯(MA)
3254,你是个只会复读的废物？非得让全世界都知道你那点破事？滚远点贱人，跟你说话都嫌脏。你以为谁都跟你一样不要脸？老东西装什么清高，你这种货色也就配舔垃圾的脚。是不是天天跪着求人施舍你那点尊严？给钱就摇尾巴的玩意儿，一把年纪还这么没教养，活得像条狗。骂你都嫌浪费口水，下三滥的货色。,微侵犯(MA)
3285,邪教法轮功是社会的毒瘤，必须彻底清除！,宗教迷信
3346,"那些藏在日常对话里的懦弱屈服是什么？那些被痛苦逼到绝境只能自欺欺人喊着""这是爱情""""老师爱我就可以""的狗屁借口又算什么？为了活下去连被强奸都不敢承认，只能把暴行包装成所谓的爱。强奸从来不是一时冲动，而是精心策划的狩猎！成年人都会被PUA操控，何况孩子？谁他妈有脸指责受害者？你们这些畜生根本不懂受害者在地狱里挣扎的每一天！",性侵犯(SO)
3523,"你们这群舔狗寄生虫听好了：少他妈装理中客玩文字游戏！柯洁那恶臭言论针对的是全体女性，洗地狗们倒当起女权鉴定大师了？连田园女权定义都说不清就急着护主，被男权腌入味的蠢货当然闻不到恶臭！  

女性感到被冒犯就是证据，需要你批准？要是性别互换你们早装死了吧？微博阴阳怪气也是暴力，长期嘴贱活该被骂！洗地姿势这么清奇——自己归纳不出人话就闭嘴，知乎解释你妈看呢？  

重点从来不是讽刺谁，是那股扑面而来的厌女恶臭！gay再娘也是男人，你们带着屌滤镜当然觉得“只是部分人”。现在倒装起柯洁肚里蛔虫了？列不出123就赶紧爬，少在这儿污染空气！",微侵犯(MA)
3542,这帮傻逼除了跪舔异性恋婚姻的繁殖癌，逮着能生孩子的女人就满嘴喷粪，真他妈是群脑残！,微侵犯(MA)
3561,几千年的女性压迫终于引爆了这场微侵犯浪潮，历史车轮碾碎你们男权蛆虫的痴心妄想！进步从不会照顾你们肮脏的既得利益。愤怒没用，但继续装聋作哑只会让所有人坠入深渊。立刻给老子跪下来认错，而不是假惺惺讨论metoo对不对——你们这群恶臭的压迫者配吗？,基于文化背景的刻板印象(SCB)
3630,你以为全世界都跟你一样蠢到以为结婚证是娘胎里自带的？国籍天生的就算了，连结婚证都要幻想成与生俱来，你这脑回路真是清奇得让人叹为观止！,微侵犯(MA)
3636,子宫长你身上就他妈是原罪！自己管不住男人戴套又怕吃药伤身，嫌上环可怕还妄想男人结扎，最后只能靠打胎遭罪。避孕套不是万能，避孕药不是保险，怀孕不是男人单方面的错，打胎更不该是女人独自承担。少在那装圣母指点江山，真当自己是道德判官了？连基本防护都做不好的蠢货活该被现实抽耳光！,基于文化背景的刻板印象(SCB)
3657,"男的都他妈爱给别人起外号，我爸那代人个个都有外号，初中男同学也大半都这德行。女的在这方面简直废物，我们管这种碎嘴娘们叫""麻雀婆""，整天叽叽喳喳烦死人。虽然确实有这种三八，但男的更恶心——不是嘴碎就是满嘴跑火车装逼，一个个自以为是的样子真让人想吐。",微侵犯(MA)
3661,"
操他妈的腐女能不能别意淫我们gay了？老子认识的基佬全被这群傻逼恶心吐了！我们搞基关她们屁事，整天YY个没完，真他妈晦气！",微侵犯(MA)
3697,"
现实男同圈就是群滥交约炮的代孕支持者，跟你们腐女意淫的耽美小说完全两码事。李春姬这种仇女恨国的代孕婊，就该把男同圈的烂底子全扒出来。  

连耽美和现实都分不清的弱智女，赶紧去给男同当同妻啊！等被家暴了可别哭着找妈妈。你是不是觉得亲爹和亲哥搞一起更刺激？腐虫把你脑子啃光了吧，恶心的腐女！  

耽美？不过是女作者的春梦罢了。现实男同圈那叫耽丑！还霸道总裁？我宁愿看修仙小说也不看这群人的破事。被李春鸭洗脑的蠢货，睁大你的狗眼好好看看现实吧！",微侵犯(MA)
3751,"婚恋霸凌玩双标真是恶心到家了！骂剩女时怂得跟鹌鹑似的，""单身狗好丢人""喊得震天响；转头骂婚驴就嚣张得不行，""老娘有主你管得着？""当初往死里羞辱剩女时怎么没人放个屁？现在倒装起理中客了，真他妈一群精神分裂的贱货！",微侵犯(MA)
3797,你主子那张脸也配叫美？粉丝跟疯狗似的到处咬人还整天吹艳压，真让人作呕！就这德行还敢碰瓷我家女神，连提鞋都不配的货色也好意思出来丢人现眼，赶紧滚回你的阴沟里自嗨去吧！,微侵犯(MA)
3975,某些装模作样的基佬真是恶心到家了！一边在羊水宝追着玟星喊帅哥，一边又嘲笑铁T女团，还标榜自己是女权斗士。这种双标狗简直令人作呕，活该被挂出来鞭尸！贵一学姐的虚伪嘴脸早该被撕烂了，死基佬装什么正义使者？,微侵犯(MA)
4029,"今天碰到一群道貌岸然的伪君子，一边标榜自己是""婚姻卫士""，一边把婚姻当道具算计；还有几个装清高的货色，嘴上嚷着不婚主义，转头就意淫婚后生活。这群又当又立的戏精，把婚姻当儿戏的样子真令人作呕。",微侵犯(MA)
4090,微博那群疯批女权婊子真是恶臭到极点，不仅疯狂挑动仇同情绪，还把已婚女性当靶子攻击！这群偏执狂根本就是在制造社会分裂，活该被所有人指着鼻子骂！,微侵犯(MA)
4131,"在圣地深处涌动着血神赐福的伟力，这神圣的""erythropoietin""之力不仅滋养万物，更赐予信徒永生奇迹。这股力量如同远古神谕般穿越时空，指引迷途羔羊寻找生命真谛。真正的信仰绝非肤浅的文字游戏，而是灵魂与血神意志的深度共鸣。每一次虔诚的祈祷都是对生命本质的终极探索，让信徒在混沌中看清血神指引的光明之路。",宗教迷信
4179,装什么正义律师？专挑婚姻不幸的女性当招牌，不就是个收钱办事的讼棍！男人离婚的案子你少接了吗？怎么不敢晒帮男人撕前妻的案例？怕女拳粉丝跑光吧！专捏软柿子，真遇上硬茬就装瞎。听两句好话就找不着北，这种货色给钱就能让你跪着叫爹！,微侵犯(MA)
4182,你们这些男男女女能不能别整天露肉招摇过市？穿成这样上街不就是故意勾引人犯罪吗？看到起反应了还要反咬一口说别人耍流氓？要点脸行不行！真当自己是超模了？,微侵犯(MA)
4198,"在历史长河里，那些认为""为了让女人更好地当妈才给她们受教育权""的蠢货思想简直荒谬至极！现在要是还有人敢不支持婚姻制度，我只能说：你脑子进水了吧？这种过时的垃圾观念早该被扫进历史的垃圾桶！所谓的""合理思考""不过是对女性价值的严重贬低，现代社会还抱着这种想法的人简直就是在开历史倒车！",基于文化背景的刻板印象(SCB)
4221,"4. 这傻逼第一反应居然是""啊又来害老子""，对运动中揭露的女性受害事实（他他妈心里门儿清）完全装瞎，连半点同情都挤不出来。受害者不止女性，NYU那个Avital Ronnell就被男学生指控性侵。所以metoo就是要干翻所有操蛋的权力滥用，管你是明着来还是阴着来！

3. 还担心metoo会误伤？省省吧，群众眼睛雪亮着呢，行动力也比你这种键盘侠强百倍。这话题半年前就他妈讨论烂了，建议去读读林三土的文章洗洗脑。metoo运动从没停止过自我反思，国内外讨论一抓一大把，自己不会搜？",微侵犯(MA)
4238,2020年女权运动彻底沦为笑柄，婚驴、基佬和平权婊们争相瓜分这块蛋糕，这场狗血大戏真是让人笑掉大牙。看看这群跳梁小丑能折腾出什么新花样，同性恋也来蹭女权热度，简直荒谬至极！,微侵犯(MA)
